gsName,gsGene,gsRange,gsSource,gsCitation
CD8_c1_Tex,PDCD1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,IFNG,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,ACP5,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,LAYN,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,CXCR6,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,RGS2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,GNLY,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,PHLDA1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,DUSP4,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,IGKC,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,GAPDH,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,KIR2DL4,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,HLA-DRA,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,HLA-DRB1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,PRF1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,CD7,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,SIRPG,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,CD27,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,CTSD,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,GALNT2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,GEM,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,SNAP47,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,ITGAE,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,PTMS,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,ALOX5AP,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,TIMD4,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,LYST,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,ETV1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,NKG7,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,BATF,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,CD63,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,CD82,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,ZBED2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,PKM,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c1_Tex,FKBP1A,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,FGFBP2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,GNLY,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,GZMH,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,CX3CR1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,S1PR5,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,SPON2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,FCGR3A,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,PLEK,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,ADGRG1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,FCRL6,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,PLAC8,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,EFHD2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,KLRD1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,HOPX,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,ITGB1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,KLRG1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,NKG7,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,FGR,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,S100A4,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,ZEB2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,MYO1F,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,C12orf75,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,ASCL2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,TBX21,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,DSTN,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,TGFBR3,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,PRF1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,LGALS1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,BIN2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,EMP3,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,CD300A,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,TTC16,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,KLF3,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,TTC38,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,MATK,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,ADRB2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,CD320,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,PXN,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,C1orf21,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,FLNA,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,TPST2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,ITGB2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,RORA,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,LAIR2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,PATL2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,SAMD3,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
