gsName,gsGene,gsRange,gsSource,gsCitation
iCMS2_Up,CARS2,CRC,iCMS,PMID35773407
iCMS2_Up,RRS1,CRC,iCMS,PMID35773407
iCMS2_Up,ZMYND8,CRC,iCMS,PMID35773407
iCMS2_Up,TPD52L2,CRC,iCMS,PMID35773407
iCMS2_Up,PEPD,CRC,iCMS,PMID35773407
iCMS2_Up,CSE1L,CRC,iCMS,PMID35773407
iCMS2_Up,UCHL3,CRC,iCMS,PMID35773407
iCMS2_Up,SLC2A8,CRC,iCMS,PMID35773407
iCMS2_Up,CYB5B,CRC,iCMS,PMID35773407
iCMS2_Up,GAL,CRC,iCMS,PMID35773407
iCMS2_Up,PIGU,CRC,iCMS,PMID35773407
iCMS2_Up,VAPB,CRC,iCMS,PMID35773407
iCMS2_Up,PARD6B,CRC,iCMS,PMID35773407
iCMS2_Up,NCOA3,CRC,iCMS,PMID35773407
iCMS2_Up,RALY,CRC,iCMS,PMID35773407
iCMS2_Up,C20orf27,CRC,iCMS,PMID35773407
iCMS2_Up,EDN1,CRC,iCMS,PMID35773407
iCMS2_Up,PHF20,CRC,iCMS,PMID35773407
iCMS2_Up,DEFA6,CRC,iCMS,PMID35773407
iCMS2_Up,DYNLRB1,CRC,iCMS,PMID35773407
iCMS2_Up,LAS1L,CRC,iCMS,PMID35773407
iCMS2_Up,SLC20A2,CRC,iCMS,PMID35773407
iCMS2_Up,YAE1D1,CRC,iCMS,PMID35773407
iCMS2_Up,IGBP1,CRC,iCMS,PMID35773407
iCMS2_Up,FTL,CRC,iCMS,PMID35773407
iCMS2_Up,KPNA3,CRC,iCMS,PMID35773407
iCMS2_Up,NKAP,CRC,iCMS,PMID35773407
iCMS2_Up,PLAGL2,CRC,iCMS,PMID35773407
iCMS2_Up,PQBP1,CRC,iCMS,PMID35773407
iCMS2_Up,RAB20,CRC,iCMS,PMID35773407
iCMS2_Up,MRGBP,CRC,iCMS,PMID35773407
iCMS2_Up,IFT52,CRC,iCMS,PMID35773407
iCMS2_Up,SCAND1,CRC,iCMS,PMID35773407
iCMS2_Up,XRN2,CRC,iCMS,PMID35773407
iCMS2_Up,ARFRP1,CRC,iCMS,PMID35773407
iCMS2_Up,RB1CC1,CRC,iCMS,PMID35773407
iCMS2_Up,NAA20,CRC,iCMS,PMID35773407
iCMS2_Up,RALGAPB,CRC,iCMS,PMID35773407
iCMS2_Up,MPLKIP,CRC,iCMS,PMID35773407
iCMS2_Up,ATP5F1E,CRC,iCMS,PMID35773407
iCMS2_Up,EEPD1,CRC,iCMS,PMID35773407
iCMS2_Up,OSBPL2,CRC,iCMS,PMID35773407
iCMS2_Up,PROX1,CRC,iCMS,PMID35773407
iCMS2_Up,C2,CRC,iCMS,PMID35773407
iCMS2_Up,SYS1,CRC,iCMS,PMID35773407
iCMS2_Up,NORAD,CRC,iCMS,PMID35773407
iCMS2_Up,FBL,CRC,iCMS,PMID35773407
iCMS2_Up,SLC7A6,CRC,iCMS,PMID35773407
iCMS2_Up,ERGIC3,CRC,iCMS,PMID35773407
iCMS2_Up,SNRPB2,CRC,iCMS,PMID35773407
iCMS2_Up,PCIF1,CRC,iCMS,PMID35773407
iCMS2_Up,RPN2,CRC,iCMS,PMID35773407
iCMS2_Up,MCTS1,CRC,iCMS,PMID35773407
iCMS2_Up,AURKA,CRC,iCMS,PMID35773407
iCMS2_Up,EIF3E,CRC,iCMS,PMID35773407
iCMS2_Up,RAB22A,CRC,iCMS,PMID35773407
iCMS2_Up,IRS2,CRC,iCMS,PMID35773407
iCMS2_Up,STRAP,CRC,iCMS,PMID35773407
iCMS2_Up,RBM39,CRC,iCMS,PMID35773407
iCMS2_Up,BCAP31,CRC,iCMS,PMID35773407
iCMS2_Up,CCDC85B,CRC,iCMS,PMID35773407
iCMS2_Up,CEBPB,CRC,iCMS,PMID35773407
iCMS2_Up,TBRG4,CRC,iCMS,PMID35773407
iCMS2_Up,DCAF13,CRC,iCMS,PMID35773407
iCMS2_Up,RNF170,CRC,iCMS,PMID35773407
iCMS2_Up,HELZ2,CRC,iCMS,PMID35773407
iCMS2_Up,ATP6V1H,CRC,iCMS,PMID35773407
iCMS2_Up,ZFAS1,CRC,iCMS,PMID35773407
iCMS2_Up,GTF3A,CRC,iCMS,PMID35773407
iCMS2_Up,MICU2,CRC,iCMS,PMID35773407
iCMS2_Up,COX19,CRC,iCMS,PMID35773407
iCMS2_Up,PSPH,CRC,iCMS,PMID35773407
iCMS2_Up,FNTA,CRC,iCMS,PMID35773407
iCMS2_Up,NXT1,CRC,iCMS,PMID35773407
iCMS2_Up,NSDHL,CRC,iCMS,PMID35773407
iCMS2_Up,SPATA13,CRC,iCMS,PMID35773407
iCMS2_Up,LAMP2,CRC,iCMS,PMID35773407
iCMS2_Up,DNAJC5,CRC,iCMS,PMID35773407
iCMS2_Up,CCL20,CRC,iCMS,PMID35773407
iCMS2_Up,DARS,CRC,iCMS,PMID35773407
iCMS2_Up,FTX,CRC,iCMS,PMID35773407
iCMS2_Up,C6orf48,CRC,iCMS,PMID35773407
iCMS2_Up,PRKDC,CRC,iCMS,PMID35773407
iCMS2_Up,RP9,CRC,iCMS,PMID35773407
iCMS2_Up,DIDO1,CRC,iCMS,PMID35773407
iCMS2_Up,EIF3H,CRC,iCMS,PMID35773407
iCMS2_Up,MRPS31,CRC,iCMS,PMID35773407
iCMS2_Up,PET117,CRC,iCMS,PMID35773407
iCMS2_Up,YTHDF1,CRC,iCMS,PMID35773407
iCMS2_Up,RNASEH2B,CRC,iCMS,PMID35773407
iCMS2_Up,C6orf222,CRC,iCMS,PMID35773407
iCMS2_Up,UTP23,CRC,iCMS,PMID35773407
iCMS2_Up,SINHCAF,CRC,iCMS,PMID35773407
iCMS2_Up,MRPS24,CRC,iCMS,PMID35773407
iCMS2_Up,TRPC4AP,CRC,iCMS,PMID35773407
iCMS2_Up,LYPLA1,CRC,iCMS,PMID35773407
iCMS2_Up,NUDT4,CRC,iCMS,PMID35773407
iCMS2_Up,SPRYD7,CRC,iCMS,PMID35773407
iCMS2_Up,ADIRF,CRC,iCMS,PMID35773407
iCMS2_Up,PCID2,CRC,iCMS,PMID35773407
iCMS2_Up,PGRMC1,CRC,iCMS,PMID35773407
iCMS2_Up,SLC52A2,CRC,iCMS,PMID35773407
iCMS2_Up,TWISTNB,CRC,iCMS,PMID35773407
iCMS2_Up,UPF3A,CRC,iCMS,PMID35773407
iCMS2_Up,EPB41L5,CRC,iCMS,PMID35773407
iCMS2_Up,TCF7,CRC,iCMS,PMID35773407
iCMS2_Up,ZC3H13,CRC,iCMS,PMID35773407
iCMS2_Up,SCARB1,CRC,iCMS,PMID35773407
iCMS2_Up,GNPDA1,CRC,iCMS,PMID35773407
iCMS2_Up,RNF6,CRC,iCMS,PMID35773407
iCMS2_Up,TRAP1,CRC,iCMS,PMID35773407
iCMS2_Up,NCBP2,CRC,iCMS,PMID35773407
iCMS2_Up,CHD6,CRC,iCMS,PMID35773407
iCMS2_Up,PDPK1,CRC,iCMS,PMID35773407
iCMS2_Up,TIMM17B,CRC,iCMS,PMID35773407
iCMS2_Up,HUS1,CRC,iCMS,PMID35773407
iCMS2_Up,ASPSCR1,CRC,iCMS,PMID35773407
iCMS2_Up,C1GALT1C1,CRC,iCMS,PMID35773407
iCMS2_Up,UBAC2,CRC,iCMS,PMID35773407
iCMS2_Up,EXOSC5,CRC,iCMS,PMID35773407
iCMS2_Up,EDEM2,CRC,iCMS,PMID35773407
iCMS2_Up,VBP1,CRC,iCMS,PMID35773407
iCMS2_Up,HM13,CRC,iCMS,PMID35773407
iCMS2_Up,NDFIP2,CRC,iCMS,PMID35773407
iCMS2_Up,CHMP4C,CRC,iCMS,PMID35773407
iCMS2_Up,RPUSD1,CRC,iCMS,PMID35773407
iCMS2_Up,SLC3A2,CRC,iCMS,PMID35773407
iCMS2_Up,CDK8,CRC,iCMS,PMID35773407
iCMS2_Up,GLA,CRC,iCMS,PMID35773407
iCMS2_Up,VMA21,CRC,iCMS,PMID35773407
iCMS2_Up,CSNK2A2,CRC,iCMS,PMID35773407
iCMS2_Up,NAE1,CRC,iCMS,PMID35773407
iCMS2_Up,NIT2,CRC,iCMS,PMID35773407
iCMS2_Up,COMMD6,CRC,iCMS,PMID35773407
iCMS2_Up,TBC1D4,CRC,iCMS,PMID35773407
iCMS2_Up,NAA10,CRC,iCMS,PMID35773407
