gsName,gsGene,gsRange,gsSource,gsCitation
aDC_IRIS_2,NFKBIB,ImmEva,xCell,PMID29141660
aDC_IRIS_2,NRAS,ImmEva,xCell,PMID29141660
aDC_IRIS_2,OSM,ImmEva,xCell,PMID29141660
aDC_IRIS_2,P2RX7,ImmEva,xCell,PMID29141660
aDC_IRIS_2,PAK2,ImmEva,xCell,PMID29141660
aDC_IRIS_2,PGK1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,PITPNA,ImmEva,xCell,PMID29141660
aDC_IRIS_2,MAP2K1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,PTGIR,ImmEva,xCell,PMID29141660
aDC_IRIS_2,RAB5A,ImmEva,xCell,PMID29141660
aDC_IRIS_2,RELA,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CLIP1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,S100A10,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CCL1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CCL4,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CCL7,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CCL8,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CCL17,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CCL18,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CCL19,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CCL22,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CCL23,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CCL24,ImmEva,xCell,PMID29141660
aDC_IRIS_2,SLAMF1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,SLC1A2,ImmEva,xCell,PMID29141660
aDC_IRIS_2,SLC6A12,ImmEva,xCell,PMID29141660
aDC_IRIS_2,SIGLEC1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,SRC,ImmEva,xCell,PMID29141660
aDC_IRIS_2,STAT2,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TCF21,ImmEva,xCell,PMID29141660
aDC_IRIS_2,DYNLT1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TPI1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TRAF1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TNFRSF4,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TXN,ImmEva,xCell,PMID29141660
aDC_IRIS_2,VRK2,ImmEva,xCell,PMID29141660
aDC_IRIS_2,XPNPEP1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ZBTB17,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CUL1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,RRP1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,SCARF1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ALDH1A2,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TAX1BP1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,SOCS3,ImmEva,xCell,PMID29141660
aDC_IRIS_2,SPAG9,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TMSB10,ImmEva,xCell,PMID29141660
aDC_IRIS_2,MAP3K13,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TRIP4,ImmEva,xCell,PMID29141660
